Kelas;Soal;A;B;C;D;E;Jawaban
3;Anak...anak sedang bermain sepak bola. Kata penulisan anak   anak seharusnya menggunakan tanda ... .;Hubung ( -);Titik (.);koma (,);titik dua (:);#;a
3;Kalimat yang menggunakan huruf  kapital yang tepat adalah ... .;Hari minggu yang lalu bela berualng tahun;Hari ini hari minggu dan besok adalah hari senin;Mela lahir pada hari Senin;Kemarin tanggal 2 februari 2017;#;c
3;"Pak tani pergi ke sawah pukul 06.00 pagi." Kalimat tanya yang tepat untuk  jawaban diatas adalah ... .;Siapa yang pergi ke sawah ?;Bagaimana pak tani pergi kesawah ?;Mengapa pak tani pergi ke sawah ?;Kapan pak tani pergi ke sawah ?;#;d
3;Hewan yang biasa digunakan untuk membajak sawah adalah ... .;Kerbau;Harimau;kuda;Kambing;#;a
3;Suasana di kota sangat sepi. Lawan kata Sepi adalah ... .;Indah;Ramai;Sunyi;hening;#;b
3;Berikut ini adalah  peristiwa yang menyenangkan adalah ... .;Dimarahi guru;Mengungsi karena banjir;tidak naik kelas;berlibur kepantai suwuk;#;d
3;Bersih itu sehat,rapi itu ... .;Enak;Nyaman;Indah;tenang;#;b
3;"Buanglah sampah pada tempatnya !" kalimat disamping termasuk kalimat... .;Perintah;Tanya;Sindiran;berita;#;a
3;Dalam kemasan mie instan terdapat tulisan : rebus dalam air mendidih selama  3 menit.Hal itu berarti mie akan matang ... .;Sebelum 3menit direbus;Lebih dari 3menit direbus;setelah 3menit direbus;kurang dari 3menit direbus;#;c
3;Yang termasuk pengalaman menyenangkan adalah ...;terlambat berangkat sekolah;ban sepeda bocor;mengikuti lomba mewarnai;jatuh dari sepeda;#;c
3;Pramusaji di Restoran Ayam Resto melayani pengunjung dengan ramah. Pramusaji artinya ...;pelayan toko;pelayan restoran;pembantu;koki;#;b
3;Kami mendambakan suasana tenteram dan damai. Sinonim kata suasana adalah ...;cuaca;udara;daerah;keadaan;#;d
3;Kita harus hormat ... orangtua. Kata yang tepat untuk melengkapi kalimat di atas adalah ...;untuk;daripada;kepada;dari;#;c
3;Kalimat di bawah ini yang benar penulisannya adalah ...;Toni dan ibu pergi ke supermarket.;Toni dan ibu pergi ke super market,;Toni dan ibu pergi ke Supermarket!;Toni dan ibu pergi ke super market.;#;a
3;Pernahkah kamu mendengar kata demam berdarah. Demam berdarah penyakit yang disebabkan oleh nyamuk. Cara kamu mencegahnya adalah ...;menyingkirkan benda tidak berguna;membiarkan benda berserakan;menyimpan botol bekas di gudang;melaporkan pada Pak Lurah;#;a
3;Dodih si anak kelelawar sedang tidur. Kalimat tersebut harus diakhiri dengan ...;tanda baca titik (.);tanda baca koma (,);tanda baca tanya (?);tanda baca seru (!);#;a
3;Berikut ini alat-alat yang digunakan untuk membuat kliping, kecuali ...;gunting;lem;benang;kertas folio;#;c
3;(Rangkai) bunga itu kelihatan indah sekali. Kata dalam kurung seharusnya ... .;Merangkai;Rangkaian;Perangkai;Rangkaikan;#;b
3;Jika kita akan berpergian naik pesawat, kita harus menuju ke ...;terminal;pelabuhan;stasiun;bandar udara;#;d
3;"... jumlah murid yang ikut kerja bakti?" Kata tanya yang tepat untuk melengkapi kalimat di atas adalah ...;Apa;Siapa;Berapa;Mengapa;#;c
3;Kata memberikan jika diuraikan menurut suku kata menjadi ... .;mem-ber-sih-kan;mem-bersih-kan;me-mber-sih-kan;member-sih-kan;#;b
3;Penulisan jam atau penunjuk waktu yang tepat terdapat pada kalimat ...;Ayah berangkat kerja pukul 07,15.;Ayah berangkat kerja pukul 07.15.;Ayah berangkat kerja pukul 07:15.;Ayah berangkat kerja pukul 07:15.;#;b
3;Kamu melihat temanmu membuang bungkus permen di selokan. Tanggapanmu ...;Baik sekali, dia;Didiamkan saja;Tidak baik membuang sampah sembarangan;Tidak apa-apa hanya sebuah plastik kecil;#;c
3;Penggunaan kata depan yang benar terdapat dalam kalimat ...;Pak Guru menulis soal ke papan tulis.;Bu Ijah berjualan pada Pasar Pagi.;Pak Parjo membaca koran di malam hari.;Aku mandi pada pagi dan sore hari;#;c
3;Lingkungan yang merupakan ciptaan Tuhan adalah ...;lingkungan buatan;lingkungan alam;lingkungan hidup;lingkungan keluarga;#;b
3;Lingkungan alam mengalami perubahan yang disebut ...;proses ilmiah;proses mekanis;proses alamiah;proses buatan;#;c
3;Tanah sekitar Gunung berapi sangat subur karena ...;mengandung belerang;mengandung lumpur;mengandung abu vulkanik;mengandung pasir;#;c
