Kelas;Soal;A;B;C;D;E;Jawaban
6;Semut merah itu berusaha naik ke atas daun melawan gelombang yang besar. Berkat ketabahannya, ia dapat mencapai permukaan daun itu dan berpegangan kuat-kuat di sana. Cerita diatas mengungkapkan pesan ...;Mengerjakan sesuatu sebaiknya disertai dengan semangat;Disertai dengan ketabahan, keberhasilan akan sulit dicapai;Ikhlas dan tabah adalah salah satu jalan menuju kesuksesan;Dengan usaha sungguh-sungguh, keberhasilan dapat dicapai;#;D
6;Banjir kembali melanda Jakarta. Seminggu yang lalu hujan baru saja turun. Akan tetapi, sudah menenggelamkan Kota Jakarta. Peristiwa yang sudah pernah terjadi, tidak dijadikan pelajaran baik bagi warga maupun pemerintah. Setiap tahun mereka harus mengungsi. Isi informasi kutipan bacaan tersebut adalah ...;Penduduk Jakarta mengungsi lagi;Pemerintah tidak bisa menangani banjir;Hujan deras selama seminggu;Banjir melanda Jakarta lagi;#;D
6;Perilaku boros dalam mengkonsumsi listrik harus diakhiri agar laju konsumsi listrik dapat diredam. Sebab, melonjaknya harga energi di pasar global telah membengkakkan subsidi listrik yang harus disediakan negara. Pemborosan listrik termasuk perilaku tidak terpuji. Informasi penting dari paragraf tersebut adalah ...;subsidi listrik yang harus disediakan negara membengkak;perilaku boros dalam mengonsumsi listrik harus diakhiri;pemborosan termasuk perilaku tidak terpuji;harga energi dipasar global melonjak;#;B
6;Kritikan yang baik terdapat dalam kalimat ...;Menurut saya, hasil kerjamu ini sudah lumayan bagus! Akan tetapi, akan lebih baik jika kamu mau mengulanginya lagi.;Lukisanmu ini belum pantas diikutkan lomba berskala nasional! Sebaiknya, kamu ikut tahun depan saja.;Ya, untuk kali ini saya menilai pekerjaanmu cukup, tetapi kamu harus ingat pekerjaan seperti ini belum layak;Sepertinya kamu masih banyak kekurangan jika dilihat dari hasil kerjamu yang seperti ini, masih jauh dari harapan.;#;A
6;Linda seringkali kesulitan menuliskan ide-ide yang ada dalam pikirannya ke dalam bentuk karangan. Saran yang tepat untuk permasalahan tersebut adalah ...;Sebaiknya Linda meminta orang lain untuk menuliskan karangannya;Sebaiknya Linda tidak usah menulis karangan tersebut;Sebaiknya Linda ke toko untuk membeli buku pelajaran;Sebaiknya Linda lebih rajin belajar menulis dan minta bimbingan guru;#;D
6;Hasil pengamatan: 1. Seluruh kelas atau semua siswa mengikuti upacara 2. Siswa yang terlambat tidak diperbolehkan masuk kedalam barisan 3. Ada lima anak laki-laki yang berbaris terpisah karena datang terlambat 4. Seluruh siswa mengenakan seragam lengkap. Laporan pengamatan di atas berisi tentang ...;Kedisiplinan siswa dalam mengikuti upacara;Kedisiplinan siswa saat akan memasuki kelas;Saat berbaris, ada lima anak berbaris terpisah;Seluruh siswa mengenakan seragam lengkap;#;A
6;Warga Adat Dukuh terkenal sangat menghormati aturan adat. Aturan adat mengharuskan mereka hidup sederhana dan dengan cara tradisional. Mereka percaya bahwa aturan itu dibuat demi kebaikan mereka. Mereka juga menghormati ketua adat. Tanggapan yang tepat terhadap rubrik di atas adalah ...;Kehidupan warga Adat Dukuh sudah ketinggalan zaman dan terlalu kuno;Kehidupan warga Adat Dukuh tergantung kepada ketua adat dan lingkungan;Kehidupan warganya masih sangat memprihatinkan karena belum ada teknologi;Kehidupan warganya patut kita tiru, meskipun hidup sederhana tetap menjaga aturan;#;D
6;Dahulu orang belum mengenal tulisan. Pada umumnya orang zaman dahulu masih buta huruf. Mereka menciptakan lambang-lambang untuk berkomunikasi. Topik yang tepat untuk laporan tersebut adalah ...;Zaman dahulu orang tidak bisa membaca.;Orang belum banyak memahami huruf dan lambang.;Lambang digunakan sebagai alat komunikasi orang zaman dulu.;Orang-orang menciptakan lambang-lambang untuk berkomunikasi.;#;D
6;Gempa bumi dengan kekuatan 6,9 skala richter mengguncang wilayah selatan Indonesia. BMKG mengeluarkan peringatan tsunami ke beberapa wilayah selatan Pulau Jawa. Gempa ini berpusat di selatan Tasikmalaya, Jawa Barat. Besarnya getaran gempa terasa hingga Yogyakarta dan Jabodetabek. Ide pokok paragraf tersebut adalah ...;Pusat gempa 6,9 richter di Tasikmalaya;Gempa bumi mengguncang Indonesia;Gempa terasa hingga Yogyakarta;Peringatan tsunami akibat gempa bumi;#;B
6;Saat ini sudah banyak orang menggunakan biofuel. Banyak perusahaan berlomba memproduksi biofuel. Hasil produksinya dipasarkan untuk bahan bakar kendaraan bermotor. Penggunaan biofuel untuk mengurangi ketergantungan terhadap BBM. Makna kata biofuel pada paragraf tersebut adalah ...;Bahan bakar yang dihasilkan secara alami;Proses pembuatan bahan bakar kendaraan;Bahan bakar minyak yang dihasilkan dari bahan organik;Bahan organik yang digunakan untuk membuat bahan bakar;#;C
