Kelas;Soal;A;B;C;D;E;Jawaban
8;Kejadian itu diduga karena hujan deras yang mengguyuri kawasan yang telah gundul tersebut. Kutipan berita tersebut merupakan unsur...;Kapan;Di mana;Bagaimana;Mengapa;#;D
8;Banjir yang melanda Ibukota mengakibatkan aktivitas perekonomian lumpuh total. Sebagian masyarakat sibuk mengungsi atau membersihkan rumah mereka dari genangan air. Pokok masalah berita tersebut adalah...;Sebagian masyarakat;Sibuk membersihakan rumah;Banjir yang mengakibatkan kelumpuhan ekonomi;Banjir yang membuat orang malas beraktivitas ekonomi;#;C
8;Di bawah ini merupakan contoh pengalaman yang mengesankan, kecuali...;Membantu bapak mencari pakan rumput;Lupa membawa ongkos ketika berpegian naik bus;Menjadi juara lomba baca puisi tingkat kabupaten;Rencana tamasya ke Curug Cimandaway;#;D
8;Hal-hal yang harus diperhatikan ketika menuliskan pengalaman yang menyenangkan adalah sebagai berikut, kecuali...;Mengumpulkan bahan yang diperlukan;Membuat kerangka karangan;Menuliskannya dalam kalimat yang menarik;Menulis dengan bahasa yang bertele-tele;#;D
8;Saat menceritakan pengalaman mengesankan secara lisan hendaknya kita menggunakan kalimat yang efektif. Maksud dari kalimat yang efektif adalah...;Kalimat yang bertele-tele;Kalimat yang lengkap unsur subjek, predikat, objek, dan keterangan;Kalimat yang panjang, rinci, dan detail;Kalimat yang menggambarkan gagasan pembicara (penulis) dengan memperhatikan kehematan penggunaan bahasa.;#;D
8;"Perhatikan kalimat berikut! ""Para siswa-siswa pada berbaris di lapangan guna untuk mengikuti upacara."" Kalimat tersebut dapat diefektifkan menjadi...";Para siswa pada berbaris di lapangan guna untuk mengikuti upacara.;Para siswa berbaris di lapangan guna untuk mengikuti upacara.;Para siswa berbaris di lapangan guna mengikuti upacara.;Para siswa-siswa berbaris di lapangan untuk mengikuti upacara.;#;C
8;Ketika menceritakan pengalaman yang mengesankan hendaknya dilakukan secara kronologis. Makna dari kronologis adalah...;Detail;Melompat-lompat;Bersambung;Diceritakan dari awal hingga akhir;#;D
8;Jenis karangan (teks/wacana) yang tepat untuk menguraikan pengalaman adalah...;Fabel;Narasi;Argumentasi;Persuasi;#;B
8;Berikut adalah hal yang perlu diperhatikan ketika menyampaikan pengumuman secara lisan adalah...;Harus panjang;Harus menggunakan pelantang suara;Suara dibuat sehalus mungkin;Pelafalan dan intonasi yang tepat;#;D
8;Bagian pengumuman yang menjelaskan urutan pengeluaran pengumuman oleh suatu instansi adalah...;Salam pembuka;Judul pengumuman;Nomor pengumuman;Isi pengumuman;#;C
